,id,month,pano_id,pt_lat,pt_lng,r_lat,r_lng,year
0,1039.0,7,9d_qeuAKMevqGUwtDGiMOg,53.73489015,-2.723272448,53.7349273563,-2.7232585118,2016
1,1040.0,5,1AzjQK8AIG3VtkYbe-a81A,53.77867693,-2.703736916,53.7787356621,-2.70376833032,2009
2,1040.0,9,oZS4oAMr6-OIaGcijzNAHw,53.77867693,-2.703736916,53.7787513341,-2.70377485369,2012
3,1040.0,10,p_cbVsWyFgnGA8v2Bs9f2Q,53.77867693,-2.703736916,53.7787238279,-2.70377312494,2012
4,1040.0,8,2WA_K7-Z4y_PAXdvRRMQxw,53.77867693,-2.703736916,53.7787643109,-2.70378777053,2015
5,1040.0,,2WA_K7-Z4y_PAXdvRRMQxw,53.77867693,-2.703736916,53.7787643109,-2.70378777053,
6,1040.0,,wlj-UMDLNnEYdJXnHfNBtA,53.77867693,-2.703736916,53.7787208974,-2.70377268903,
7,1040.0,,x0q_XE_tWtt8Eq631zS5YA,53.77867693,-2.703736916,53.7788508462,-2.70381909703,
8,1040.0,,iNXreIZ6GpSX58ldCdJBiQ,53.77867693,-2.703736916,53.7787121376,-2.70363476341,
9,1040.0,,7M93Ihh5UPucQvElSFp01A,53.77867693,-2.703736916,53.778938114,-2.70385050787,
10,1040.0,,10j31fGWWjW65hiucsnELA,53.77867693,-2.703736916,53.778738254,-2.7034526815,
11,1040.0,,Fh4m2SzSMEud2uL25927cg,53.77867693,-2.703736916,53.7785313175,-2.70370707976,
12,1040.0,,5hu0LzhT7PVtonmxD5uHtg,53.77867693,-2.703736916,53.7786289752,-2.70374098671,
13,1040.0,,rWBhOgNYL5y8V-hq1yp4xw,53.77867693,-2.703736916,53.7784336268,-2.7036732295,
14,1040.0,,mmgQLg0tJ8FPgU5Uh5DFdw,53.77867693,-2.703736916,53.7790239918,-2.70388248245,
15,1040.0,,oHnZiV8DC04Xcv1IdjUG_Q,53.77867693,-2.703736916,53.7791980945,-2.70393775901,
16,1040.0,,eVvTd2Yhv1HOPs6jGPSh0g,53.77867693,-2.703736916,53.7791092795,-2.70391178535,
17,1040.0,,RA3TBB7ZMqf5V8UDeS6iuw,53.77867693,-2.703736916,53.7783272294,-2.70363523553,
18,1040.0,,0i_bb9RY8VcpMbadXn_nNg,53.77867693,-2.703736916,53.7784312129,-2.70308024881,
19,1040.0,,MwOVDLNqc1xyUYeMsVjt8A,53.77867693,-2.703736916,53.7792886006,-2.70396050086,
20,1040.0,,71huTrVu2XIFjicgG8jbhg,53.77867693,-2.703736916,53.7793773506,-2.70398116647,
21,1040.0,,jkxo92Zfaog2VfnOWqIcoQ,53.77867693,-2.703736916,53.7786990943,-2.70325706853,
22,1040.0,,d82zLKPOgRPHcAYeJFkZ3A,53.77867693,-2.703736916,53.7786048221,-2.7032263686,
